nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
BUMI PERSADA SURYA PRATAMA,KAB. BANGGAI,7941.0,"""BUMI PERSADA SURYA PRATAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Judul Karya Jurnalistik Peserta Akademi Jurnalisme Ekonomi ...,https://aji.or.id/system/files/2024-07/bukuajelcompressed_4.pdf,"menyangkut amdal. Ia menjanjikan jika perusahaan dimaksud telah ... Di sisi lain, masalahnya darat juga, dari limbah-limbah masyarakat. Juga ..."
BUMI PERSADA SURYA PRATAMA,KAB. BANGGAI,7941.0,"""BUMI PERSADA SURYA PRATAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TAHUN 2024 FORMULIR KERANGKA ACUAN,https://dlh.sultengprov.go.id/deploy/doklingkungan/1758004139_f0d44ebc36e81af433e3.pdf,ADDENDUM ANDAL DAN RKL-RPL Pertambangan Bijih Nikel di Kec. Bahodopi ... PENYUSUNAN PERSETUJUAN TEKNIS (PERTEK) UNTUK AIR LIMBAH PENUNJANG AMDAL DAN SLO.
BOLMONG TIMUR PRIMANUSA RESOURCES,KAB. BOLAANG MONGONDOW TIMUR,7889.0,"""BOLMONG TIMUR PRIMANUSA RESOURCES"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Indonesia 2018 EITI Report,https://eiti.org/sites/default/files/attachments/laporan_eiti_8_2020_eng.pdf,"Jun 22, 2017 ... An Environmental Document consists of AMDAL document, UKL-UPL form, and Statement of ... NHL (previously PT Panca Mitra Limbah Indonesia) is."
BOLMONG TIMUR PRIMANUSA RESOURCES,KAB. BOLAANG MONGONDOW TIMUR,7889.0,"""BOLMONG TIMUR PRIMANUSA RESOURCES"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",kontekstual (flexible report) - Portal Data Ekstraktif,https://www.portaldataekstraktif.id/storage/post-file/20240604154413/laporan-eiti-2018-kontekstual-ind.pdf,"Hasil kajian AMDAL berupa dokumen AMDAL yang terdiri. Page 91. [Laporan ... Limbah Aman Praktis Ramah Lingkungan). Secara keseluruhan, pemanfaatan IPAL ..."
KARYA PUTRA KONTARA,KAB. KONAWE UTARA,7672.0,"""KARYA PUTRA KONTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ARTESIS INDONESIA,KAB. BONE,7614.0,"""ARTESIS INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
PRIMA BANGUN PERSADA NUSANTARA,KAB. BANGGAI,7139.0,"""PRIMA BANGUN PERSADA NUSANTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ARTHA BUMI MINERAL,"KAB. BOMBANA; KAB. MOROWALI, KAB. MOROWALI UTARA",7112.0,"""ARTHA BUMI MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
MADUMA ASIH PRATAMA,KAB. LUWU TIMUR,7069.0,"""MADUMA ASIH PRATAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
BHAKTIPUTRA PERSADA NUSANTARA,KAB. MOROWALI UTARA,7031.69,"""BHAKTIPUTRA PERSADA NUSANTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
KURNIA DEGESS RAPTAMA,KAB. MOROWALI,6829.0,"""KURNIA DEGESS RAPTAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
PINHARD INDONESIA,KAB. MOROWALI; KAB. MOROWALI UTARA,6813.0,"""PINHARD INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
