provinsi,tahun,indikator,nilai,Sumber
Sulawesi Tengah,2021,Kasus Kusta Baru,180,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2021,Kasus Kusta Baru,209,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2021,Kasus Kusta Baru,378,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2021,Kasus Malaria Positif,49,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2021,Kasus Malaria Positif,93,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2021,Kasus Malaria Positif,936,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2021,Kasus Malaria Positif,56,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2021,Kasus Malaria Positif,351,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2021,Kasus Malaria Positif,713,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2022,Kasus Diare Dilayani,9611,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2022,Kasus Diare Dilayani,19758,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2022,Kasus Diare Dilayani,87402,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2022,Kasus Diare Dilayani,27582,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2022,Kasus Diare Dilayani,17004,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2022,Kasus Diare Dilayani,9374,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2022,Kasus ISPA/Pneumonia,1947,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2022,Kasus ISPA/Pneumonia,744,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2022,Kasus ISPA/Pneumonia,4872,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2022,Kasus ISPA/Pneumonia,6273,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2022,Kasus ISPA/Pneumonia,1515,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2022,Kasus ISPA/Pneumonia,209,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2022,Kasus Kusta Baru,60,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2022,Kasus Kusta Baru,58,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2022,Kasus Kusta Baru,278,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2022,Kasus Kusta Baru,113,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2022,Kasus Kusta Baru,65,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2022,Kasus Kusta Baru,185,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2022,Kasus Malaria Positif,52,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2022,Kasus Malaria Positif,241,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2022,Kasus Malaria Positif,1736,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2022,Kasus Malaria Positif,173,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2022,Kasus Malaria Positif,590,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2022,Kasus Malaria Positif,1069,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2023,Kasus Diare Dilayani,14482,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2023,Kasus Diare Dilayani,22773,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2023,Kasus Diare Dilayani,110987,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2023,Kasus Diare Dilayani,10648,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2023,Kasus Diare Dilayani,26539,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2023,Kasus Diare Dilayani,8604,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2023,Kasus ISPA/Pneumonia,2716,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2023,Kasus ISPA/Pneumonia,848,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2023,Kasus ISPA/Pneumonia,9050,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2023,Kasus ISPA/Pneumonia,7873,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2023,Kasus ISPA/Pneumonia,1572,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2023,Kasus ISPA/Pneumonia,143,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2023,Kasus Kusta Baru,166,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2023,Kasus Kusta Baru,151,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2023,Kasus Kusta Baru,817,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2023,Kasus Kusta Baru,322,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2023,Kasus Kusta Baru,220,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2023,Kasus Kusta Baru,456,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2023,Kasus Malaria Positif,1569,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2023,Kasus Malaria Positif,321,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2023,Kasus Malaria Positif,1805,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2023,Kasus Malaria Positif,636,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2023,Kasus Malaria Positif,585,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2023,Kasus Malaria Positif,1221,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2024,Kasus Diare Dilayani,13040,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2024,Kasus Diare Dilayani,16785,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2024,Kasus Diare Dilayani,120370,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2024,Kasus Diare Dilayani,34225,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2024,Kasus Diare Dilayani,24613,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2024,Kasus Diare Dilayani,11532,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2024,Kasus ISPA/Pneumonia,2843,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2024,Kasus ISPA/Pneumonia,1381,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2024,Kasus ISPA/Pneumonia,9052,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2024,Kasus ISPA/Pneumonia,8840,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2024,Kasus ISPA/Pneumonia,1647,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2024,Kasus ISPA/Pneumonia,243,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2024,Kasus Kusta Baru,212,nasional_kesehatan_detail_2014_2024.csv
