Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Tenggara,2017,Pertanian Berpindah,220.69044,145140.59645,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Tidak Diketahui,23.59813,15692.23664,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Urbanisasi,114.83894,37920.02177,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Deforestasi Komoditas (Tambang/Sawit),53148.13764,22231240.85884,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Kehutanan,12558.00894,7650935.738989999,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Pertanian Berpindah,193.79035,123525.83434,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Tidak Diketahui,11.37953,7597.773709999999,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Urbanisasi,244.27322,50657.37084,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Deforestasi Komoditas (Tambang/Sawit),42397.9654,16896553.28049,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Kehutanan,9104.43687,5640858.36171,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Pertanian Berpindah,149.73228,98154.84241,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Tidak Diketahui,17.12677,10880.78871,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Urbanisasi,212.32172,58089.27582,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Deforestasi Komoditas (Tambang/Sawit),40232.19858,15147102.92306,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Kehutanan,9654.67217,6011335.36265,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Pertanian Berpindah,168.93184,110293.53503,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Tidak Diketahui,10.1525,5548.07769,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Urbanisasi,154.63038,41429.88233,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Deforestasi Komoditas (Tambang/Sawit),46963.57385,19320380.36843,Tidak/Tidak Diketahui
