provinsi,tahun,indikator,nilai
Sulawesi Utara,2016,Kasus Kusta Baru,379
Sumatera Barat,2016,Kasus Kusta Baru,54
Sumatera Selatan,2016,Kasus Kusta Baru,278
Sumatera Utara,2016,Kasus Kusta Baru,177
Aceh,2016,Kasus Malaria Positif,243
Bali,2016,Kasus Malaria Positif,6
Banten,2016,Kasus Malaria Positif,28
Bengkulu,2016,Kasus Malaria Positif,2770
DI Yogyakarta,2016,Kasus Malaria Positif,95
DKI Jakarta,2016,Kasus Malaria Positif,70
Gorontalo,2016,Kasus Malaria Positif,176
Jambi,2016,Kasus Malaria Positif,492
Jawa Barat,2016,Kasus Malaria Positif,323
Jawa Tengah,2016,Kasus Malaria Positif,1091
Jawa Timur,2016,Kasus Malaria Positif,303
Kalimantan Barat,2016,Kasus Malaria Positif,297
Kalimantan Selatan,2016,Kasus Malaria Positif,2117
Kalimantan Tengah,2016,Kasus Malaria Positif,474
Kalimantan Timur,2016,Kasus Malaria Positif,1228
Kalimantan Utara,2016,Kasus Malaria Positif,22
Kep. Bangka Belitung,2016,Kasus Malaria Positif,158
Kepulauan Riau,2016,Kasus Malaria Positif,721
Lampung,2016,Kasus Malaria Positif,3298
Maluku,2016,Kasus Malaria Positif,6780
Maluku Utara,2016,Kasus Malaria Positif,2888
Nusa Tenggara Barat,2016,Kasus Malaria Positif,1168
Nusa Tenggara Timur,2016,Kasus Malaria Positif,28129
Papua,2016,Kasus Malaria Positif,147066
Papua Barat,2016,Kasus Malaria Positif,6063
Riau,2016,Kasus Malaria Positif,166
Sulawesi Barat,2016,Kasus Malaria Positif,119
Sulawesi Selatan,2016,Kasus Malaria Positif,992
Sulawesi Tengah,2016,Kasus Malaria Positif,1446
Sulawesi Tenggara,2016,Kasus Malaria Positif,1226
Sulawesi Utara,2016,Kasus Malaria Positif,1752
Sumatera Barat,2016,Kasus Malaria Positif,650
Sumatera Selatan,2016,Kasus Malaria Positif,2286
Sumatera Utara,2016,Kasus Malaria Positif,3807
Aceh,2017,Kasus ISPA/Pneumonia,2157
Bali,2017,Kasus ISPA/Pneumonia,5370
Banten,2017,Kasus ISPA/Pneumonia,31651
Bengkulu,2017,Kasus ISPA/Pneumonia,493
DI Yogyakarta,2017,Kasus ISPA/Pneumonia,4214
DKI Jakarta,2017,Kasus ISPA/Pneumonia,43451
Gorontalo,2017,Kasus ISPA/Pneumonia,3996
Jambi,2017,Kasus ISPA/Pneumonia,5484
Jawa Barat,2017,Kasus ISPA/Pneumonia,145135
Jawa Tengah,2017,Kasus ISPA/Pneumonia,59995
Jawa Timur,2017,Kasus ISPA/Pneumonia,92975
Kalimantan Barat,2017,Kasus ISPA/Pneumonia,2026
Kalimantan Selatan,2017,Kasus ISPA/Pneumonia,10687
Kalimantan Tengah,2017,Kasus ISPA/Pneumonia,471
Kalimantan Timur,2017,Kasus ISPA/Pneumonia,6799
Kalimantan Utara,2017,Kasus ISPA/Pneumonia,1558
Kepulauan Bangka Belitung,2017,Kasus ISPA/Pneumonia,5591
Kepulauan Riau,2017,Kasus ISPA/Pneumonia,1826
Lampung,2017,Kasus ISPA/Pneumonia,6273
Maluku,2017,Kasus ISPA/Pneumonia,1065
Maluku Utara,2017,Kasus ISPA/Pneumonia,971
Nusa Tenggara Barat,2017,Kasus ISPA/Pneumonia,18569
Nusa Tenggara Timur,2017,Kasus ISPA/Pneumonia,3890
Papua,2017,Kasus ISPA/Pneumonia,53
Papua Barat,2017,Kasus ISPA/Pneumonia,356
Riau,2017,Kasus ISPA/Pneumonia,6277
Sulawesi Barat,2017,Kasus ISPA/Pneumonia,1815
Sulawesi Selatan,2017,Kasus ISPA/Pneumonia,6120
Sulawesi Tengah,2017,Kasus ISPA/Pneumonia,9895
Sulawesi Tenggara,2017,Kasus ISPA/Pneumonia,2577
Sulawesi Utara,2017,Kasus ISPA/Pneumonia,321
Sumatera Barat,2017,Kasus ISPA/Pneumonia,10576
Sumatera Selatan,2017,Kasus ISPA/Pneumonia,13345
Sumatera Utara,2017,Kasus ISPA/Pneumonia,5452
Aceh,2017,Kasus Kusta Baru,324
Bali,2017,Kasus Kusta Baru,70
Banten,2017,Kasus Kusta Baru,942
Bengkulu,2017,Kasus Kusta Baru,26
DI Yogyakarta,2017,Kasus Kusta Baru,94
DKI Jakarta,2017,Kasus Kusta Baru,300
Gorontalo,2017,Kasus Kusta Baru,214
Jambi,2017,Kasus Kusta Baru,60
Jawa Barat,2017,Kasus Kusta Baru,1813
