provinsi,tahun,indikator,nilai
Jawa Tengah,2016,Kasus ISPA/Pneumonia,59650
Jawa Tengah,2016,Kasus Kusta Baru,1609
Jawa Tengah,2016,Kasus Malaria Positif,1091
Jawa Tengah,2017,Kasus ISPA/Pneumonia,59995
Jawa Tengah,2017,Kasus Kusta Baru,1644
Jawa Tengah,2017,Kasus Malaria Positif,904
Jawa Tengah,2018,Kasus Diare Dilayani,573625
Jawa Tengah,2018,Kasus ISPA/Pneumonia,60660
Jawa Tengah,2018,Kasus Kusta Baru,1445
Jawa Tengah,2018,Kasus Malaria Positif,732
Jawa Tengah,2019,Kasus Diare Dilayani,559994
Jawa Tengah,2019,Kasus ISPA/Pneumonia,50263
Jawa Tengah,2019,Kasus Kusta Baru,1336
Jawa Tengah,2019,Kasus Malaria Positif,297
Jawa Tengah,2020,Kasus Diare Dilayani,412805
Jawa Tengah,2020,Kasus ISPA/Pneumonia,41049
Jawa Tengah,2020,Kasus Kusta Baru,1035
Jawa Tengah,2020,Kasus Malaria Positif,265
Jawa Tengah,2021,Kasus Diare Dilayani,297062
Jawa Tengah,2021,Kasus ISPA/Pneumonia,35978
Jawa Tengah,2021,Kasus Kusta Baru,642
Jawa Tengah,2021,Kasus Malaria Positif,805
Jawa Tengah,2022,Kasus Diare Dilayani,322481
Jawa Tengah,2022,Kasus ISPA/Pneumonia,38348
Jawa Tengah,2022,Kasus Kusta Baru,322
Jawa Tengah,2022,Kasus Malaria Positif,931
Jawa Tengah,2023,Kasus Diare Dilayani,372779
Jawa Tengah,2023,Kasus ISPA/Pneumonia,55232
Jawa Tengah,2023,Kasus Kusta Baru,1285
Jawa Tengah,2023,Kasus Malaria Positif,567
Jawa Tengah,2024,Kasus Diare Dilayani,467663
Jawa Tengah,2024,Kasus ISPA/Pneumonia,82862
Jawa Tengah,2024,Kasus Kusta Baru,1294
Jawa Tengah,2024,Kasus Malaria Positif,747
Jawa Timur,2014,Kasus Diare Dilayani,1015968
Jawa Timur,2014,Kasus ISPA/Pneumonia,106551
Jawa Timur,2014,Kasus Kusta Baru,4116
Jawa Timur,2014,Kasus Malaria Positif,315
Jawa Timur,2015,Kasus Diare Dilayani,28979
Jawa Timur,2015,Kasus ISPA/Pneumonia,96087
Jawa Timur,2015,Kasus Kusta Baru,4013
Jawa Timur,2015,Kasus Malaria Positif,25
Jawa Timur,2016,Kasus Diare Dilayani,338806
Jawa Timur,2016,Kasus ISPA/Pneumonia,93279
Jawa Timur,2016,Kasus Kusta Baru,3999
Jawa Timur,2016,Kasus Malaria Positif,303
Jawa Timur,2017,Kasus ISPA/Pneumonia,92975
Jawa Timur,2017,Kasus Kusta Baru,3373
Jawa Timur,2017,Kasus Malaria Positif,107
Jawa Timur,2018,Kasus Diare Dilayani,742060
Jawa Timur,2018,Kasus ISPA/Pneumonia,92913
Jawa Timur,2018,Kasus Kusta Baru,3259
Jawa Timur,2018,Kasus Malaria Positif,361
Jawa Timur,2019,Kasus Diare Dilayani,678248
Jawa Timur,2019,Kasus ISPA/Pneumonia,89361
Jawa Timur,2019,Kasus Kusta Baru,2940
Jawa Timur,2019,Kasus Malaria Positif,636
Jawa Timur,2020,Kasus Diare Dilayani,572925
Jawa Timur,2020,Kasus ISPA/Pneumonia,76929
Jawa Timur,2020,Kasus Kusta Baru,1863
Jawa Timur,2020,Kasus Malaria Positif,295
Jawa Timur,2021,Kasus Diare Dilayani,510033
Jawa Timur,2021,Kasus ISPA/Pneumonia,74071
Jawa Timur,2021,Kasus Kusta Baru,1696
Jawa Timur,2021,Kasus Malaria Positif,212
Jawa Timur,2022,Kasus Diare Dilayani,423492
Jawa Timur,2022,Kasus ISPA/Pneumonia,92118
Jawa Timur,2022,Kasus Kusta Baru,789
Jawa Timur,2022,Kasus Malaria Positif,579
Jawa Timur,2023,Kasus Diare Dilayani,642000
Jawa Timur,2023,Kasus ISPA/Pneumonia,75199
Jawa Timur,2023,Kasus Kusta Baru,2348
Jawa Timur,2023,Kasus Malaria Positif,565
Jawa Timur,2024,Kasus Diare Dilayani,435344
Jawa Timur,2024,Kasus ISPA/Pneumonia,99628
Jawa Timur,2024,Kasus Kusta Baru,2198
Jawa Timur,2024,Kasus Malaria Positif,553
Kalimantan Barat,2014,Kasus Diare Dilayani,0
Kalimantan Barat,2014,Kasus ISPA/Pneumonia,2443
Kalimantan Barat,2014,Kasus Kusta Baru,43
Kalimantan Barat,2014,Kasus Malaria Positif,753
Kalimantan Barat,2015,Kasus Diare Dilayani,31616
Kalimantan Barat,2015,Kasus ISPA/Pneumonia,2791
Kalimantan Barat,2015,Kasus Kusta Baru,57
Kalimantan Barat,2015,Kasus Malaria Positif,640
Kalimantan Barat,2016,Kasus Diare Dilayani,0
Kalimantan Barat,2016,Kasus ISPA/Pneumonia,2542
Kalimantan Barat,2016,Kasus Kusta Baru,91
Kalimantan Barat,2016,Kasus Malaria Positif,297
Kalimantan Barat,2017,Kasus ISPA/Pneumonia,2026
Kalimantan Barat,2017,Kasus Kusta Baru,61
Kalimantan Barat,2017,Kasus Malaria Positif,152
Kalimantan Barat,2018,Kasus Diare Dilayani,64731
Kalimantan Barat,2018,Kasus ISPA/Pneumonia,1965
Kalimantan Barat,2018,Kasus Kusta Baru,99
Kalimantan Barat,2018,Kasus Malaria Positif,99
Kalimantan Barat,2019,Kasus Diare Dilayani,59061
Kalimantan Barat,2019,Kasus ISPA/Pneumonia,1709
Kalimantan Barat,2019,Kasus Kusta Baru,80
Kalimantan Barat,2019,Kasus Malaria Positif,22
Kalimantan Barat,2020,Kasus Diare Dilayani,36794
