province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Selatan,2023,Shifting agriculture,2528.297403541762,1611123.9217197269,
Sulawesi Selatan,2023,Unknown,531.1857586680119,338391.8014005539,
Sulawesi Selatan,2024,Commodity driven deforestation,7195.6102711633175,4813611.537139392,
Sulawesi Selatan,2024,Forestry,285.78486630480586,219808.55312874276,
Sulawesi Selatan,2024,Shifting agriculture,1492.9424488496088,997546.6955541816,
Sulawesi Selatan,2024,Unknown,624.6561051563892,398407.7862136521,
Sulawesi Selatan,2025,Commodity driven deforestation,10796.333078112124,7411193.0929478835,
Sulawesi Selatan,2025,Forestry,578.9844720023552,428867.2277488999,
Sulawesi Selatan,2025,Shifting agriculture,2495.7270482013146,1701892.7179123224,
Sulawesi Selatan,2025,Unknown,723.4471087323336,470001.4336281828,
Sulawesi Tengah,2001,Commodity driven deforestation,15090.7538,10698618.31749,
Sulawesi Tengah,2001,Forestry,1689.15633,1250723.64005,
Sulawesi Tengah,2001,Shifting agriculture,700.61232,502554.0245,
Sulawesi Tengah,2001,Unknown,40.29972,25454.60882,
Sulawesi Tengah,2002,Commodity driven deforestation,26669.57432,19074501.32678,
Sulawesi Tengah,2002,Forestry,5221.413930000001,3568735.6332,
Sulawesi Tengah,2002,Shifting agriculture,1191.58072,876531.80326,
Sulawesi Tengah,2002,Unknown,45.76352,35176.61499,
Sulawesi Tengah,2003,Commodity driven deforestation,15161.07227,11031011.56264,
Sulawesi Tengah,2003,Forestry,4024.7774,2308322.37469,
Sulawesi Tengah,2003,Shifting agriculture,898.5324199999999,593540.90713,
Sulawesi Tengah,2003,Unknown,21.91695,14700.17656,
Sulawesi Tengah,2004,Commodity driven deforestation,35054.90335,25375089.07594,
Sulawesi Tengah,2004,Forestry,3945.00329,2811416.4904,
Sulawesi Tengah,2004,Shifting agriculture,1069.65592,781717.56054,
Sulawesi Tengah,2004,Unknown,43.22028,28979.91199,
Sulawesi Tengah,2005,Commodity driven deforestation,15574.69527,11387997.46221,
Sulawesi Tengah,2005,Forestry,1824.94217,1334334.81629,
Sulawesi Tengah,2005,Shifting agriculture,621.88749,462847.78889,
Sulawesi Tengah,2005,Unknown,25.45764,18730.77954,
Sulawesi Tengah,2006,Commodity driven deforestation,26134.3617,18925790.50834,
Sulawesi Tengah,2006,Forestry,3409.61926,2459533.27422,
Sulawesi Tengah,2006,Shifting agriculture,993.04471,709316.5660700001,
Sulawesi Tengah,2006,Unknown,35.75935,23425.30878,
Sulawesi Tengah,2007,Commodity driven deforestation,17643.877809999998,12559676.54082,
Sulawesi Tengah,2007,Forestry,2065.41736,1504575.49406,
Sulawesi Tengah,2007,Shifting agriculture,546.80166,392991.56603,
Sulawesi Tengah,2007,Unknown,28.83899,21054.68264,
Sulawesi Tengah,2008,Commodity driven deforestation,14310.01344,10113487.30251,
Sulawesi Tengah,2008,Forestry,1732.72135,1240815.40089,
Sulawesi Tengah,2008,Shifting agriculture,622.75778,462756.59079,
Sulawesi Tengah,2008,Unknown,32.68316,20977.68854,
Sulawesi Tengah,2009,Commodity driven deforestation,46682.87445,32295273.47557,
Sulawesi Tengah,2009,Forestry,4441.43621,3057873.48209,
Sulawesi Tengah,2009,Shifting agriculture,1072.56019,748681.47426,
Sulawesi Tengah,2009,Unknown,49.90996,32186.83733,
Sulawesi Tengah,2010,Commodity driven deforestation,19460.93128,13966876.61794,
Sulawesi Tengah,2010,Forestry,1907.66986,1323595.84045,
Sulawesi Tengah,2010,Shifting agriculture,507.98126,346762.66084,
Sulawesi Tengah,2010,Unknown,31.840670000000003,22248.44119,
Sulawesi Tengah,2011,Commodity driven deforestation,22954.83267,16539297.48283,
Sulawesi Tengah,2011,Forestry,2621.58016,1809240.41709,
Sulawesi Tengah,2011,Shifting agriculture,493.73397,345467.89722,
Sulawesi Tengah,2011,Unknown,45.06366,31148.52566,
Sulawesi Tengah,2012,Commodity driven deforestation,29218.57892,21269759.92936,
Sulawesi Tengah,2012,Forestry,4042.96549,3046380.21318,
Sulawesi Tengah,2012,Shifting agriculture,3734.58425,3390028.23514,
Sulawesi Tengah,2012,Unknown,62.68179,45306.32968,
Sulawesi Tengah,2013,Commodity driven deforestation,21463.55821,15352789.75715,
Sulawesi Tengah,2013,Forestry,3112.46977,2280750.37921,
Sulawesi Tengah,2013,Shifting agriculture,3818.99024,3524307.51958,
Sulawesi Tengah,2013,Unknown,35.151360000000004,23066.4199,
Sulawesi Tengah,2014,Commodity driven deforestation,39237.27405,26735015.72485,
Sulawesi Tengah,2014,Forestry,5309.152,3588651.89152,
Sulawesi Tengah,2014,Shifting agriculture,1966.72422,1503758.17702,
Sulawesi Tengah,2014,Unknown,76.29884,48964.77731,
Sulawesi Tengah,2015,Commodity driven deforestation,78831.23030000001,49340720.46933,
Sulawesi Tengah,2015,Forestry,10480.86071,6284642.9707,
Sulawesi Tengah,2015,Shifting agriculture,2284.47985,1549755.9619,
Sulawesi Tengah,2015,Unknown,122.05167,71632.50474,
Sulawesi Tengah,2016,Commodity driven deforestation,62065.2169,34240510.79046,
Sulawesi Tengah,2016,Forestry,9271.83476,5255726.4513,
Sulawesi Tengah,2016,Shifting agriculture,2585.3404,1573260.78252,
Sulawesi Tengah,2016,Unknown,105.4329,59995.5895,
Sulawesi Tengah,2017,Commodity driven deforestation,31070.20898,21098163.30977,
Sulawesi Tengah,2017,Forestry,4500.69543,3165837.48003,
Sulawesi Tengah,2017,Shifting agriculture,1182.19857,826042.1577999999,
Sulawesi Tengah,2017,Unknown,89.6733,61594.89724,
Sulawesi Tengah,2018,Commodity driven deforestation,32250.1039,21699405.50613,
Sulawesi Tengah,2018,Forestry,4299.01364,2953801.16241,
Sulawesi Tengah,2018,Shifting agriculture,804.40517,545451.03934,
Sulawesi Tengah,2018,Unknown,56.75248,36006.76542,
Sulawesi Tengah,2019,Commodity driven deforestation,39419.22025,26559060.98571,
Sulawesi Tengah,2019,Forestry,4744.71519,3168509.00667,
Sulawesi Tengah,2019,Shifting agriculture,1091.12907,711197.03414,
Sulawesi Tengah,2019,Unknown,92.43534,56198.83533,
Sulawesi Tengah,2020,Commodity driven deforestation,22993.25523,15688311.29187,
Sulawesi Tengah,2020,Forestry,2803.28502,1926259.05576,
Sulawesi Tengah,2020,Shifting agriculture,822.2874,545385.5863600001,
Sulawesi Tengah,2020,Unknown,44.44827,29726.23394,
Sulawesi Tengah,2021,Commodity driven deforestation,19567.37715,13516229.09735,
Sulawesi Tengah,2021,Forestry,2361.04181,1629208.03187,
Sulawesi Tengah,2021,Shifting agriculture,524.01686,354121.87095,
Sulawesi Tengah,2021,Unknown,45.37709,29714.80048,
Sulawesi Tengah,2022,Commodity driven deforestation,21298.97691,14794807.97354,
Sulawesi Tengah,2022,Forestry,2652.42608,1800753.54356,
Sulawesi Tengah,2022,Shifting agriculture,541.64339,370920.11181,
Sulawesi Tengah,2022,Unknown,36.83954,22837.83234,
Sulawesi Tengah,2023,Commodity driven deforestation,36570.63989,25212728.98652,
Sulawesi Tengah,2023,Forestry,5416.33252,3658386.85811,
