tahun,provinsi,jenis,jumlah
2022,Sulawesi Selatan,Puskesmas,400.0
2022,Sulawesi Tenggara,Puskesmas,160.0
2022,Gorontalo,Puskesmas,78.0
2022,Sulawesi Barat,Puskesmas,63.0
2022,Sulawesi Utara,Puskesmas,54.0
2022,Sulawesi Tengah,Puskesmas,70.0
2022,Sulawesi Selatan,Puskesmas,116.0
2022,Sulawesi Tenggara,Puskesmas,77.0
2022,Gorontalo,Puskesmas,28.0
2022,Sulawesi Barat,Puskesmas,30.0
2022,Sulawesi Utara,Puskesmas,50.0
2022,Sulawesi Tengah,Puskesmas,58.0
2022,Sulawesi Selatan,Puskesmas,89.0
2022,Sulawesi Tenggara,Puskesmas,76.0
2022,Gorontalo,Puskesmas,9.0
2022,Sulawesi Barat,Puskesmas,23.0
2022,Sulawesi Utara,Puskesmas,112.0
2022,Sulawesi Tengah,Puskesmas,97.0
2022,Sulawesi Selatan,Puskesmas,211.0
2022,Sulawesi Tenggara,Puskesmas,48.0
2022,Gorontalo,Puskesmas,37.0
2022,Sulawesi Barat,Puskesmas,12.0
2022,Sulawesi Utara,Puskesmas,205.0
2022,Sulawesi Tengah,Puskesmas,251.0
2022,Sulawesi Selatan,Puskesmas,455.0
2022,Sulawesi Tenggara,Puskesmas,296.0
2022,Gorontalo,Puskesmas,94.0
2022,Sulawesi Barat,Puskesmas,93.0
2022,Sulawesi Utara,Puskesmas,20.0
2022,Sulawesi Tengah,Puskesmas,52.0
2022,Sulawesi Selatan,Puskesmas,60.0
2022,Sulawesi Tenggara,Puskesmas,87.0
2022,Gorontalo,Puskesmas,17.0
2022,Sulawesi Barat,Puskesmas,28.0
2022,Sulawesi Utara,Puskesmas,0.0
2022,Sulawesi Tengah,Puskesmas,1.0
2022,Sulawesi Selatan,Puskesmas,0.0
2022,Sulawesi Tenggara,Puskesmas,0.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,1.0
2022,Sulawesi Utara,Puskesmas,3.0
2022,Sulawesi Tengah,Puskesmas,11.0
2022,Sulawesi Selatan,Puskesmas,5.0
2022,Sulawesi Tenggara,Puskesmas,1.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,1.0
2022,Sulawesi Utara,Puskesmas,153.0
2022,Sulawesi Tengah,Puskesmas,43.0
2022,Sulawesi Selatan,Puskesmas,178.0
2022,Sulawesi Tenggara,Puskesmas,67.0
2022,Gorontalo,Puskesmas,30.0
2022,Sulawesi Barat,Puskesmas,35.0
2022,Sulawesi Utara,Puskesmas,0.0
2022,Sulawesi Tengah,Puskesmas,0.0
2022,Sulawesi Selatan,Puskesmas,0.0
2022,Sulawesi Tenggara,Puskesmas,0.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Utara,Puskesmas,376.002
2022,Sulawesi Tengah,Puskesmas,517.758
2022,Sulawesi Selatan,Puskesmas,0.0
2022,Sulawesi Tenggara,Puskesmas,446.302
2022,Gorontalo,Puskesmas,193.706
2022,Sulawesi Barat,Puskesmas,238.93
2022,Sulawesi Utara,Puskesmas,12.783
2022,Sulawesi Tengah,Puskesmas,15.186
2022,Sulawesi Selatan,Puskesmas,39.677
