nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
ANUGRAH EMAS BINTANG CEMERLANG,15122300653380003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Selatan,KAB. MAROS,2024,29.93
ARFIDI SUKSES MANDIRI,02203043605350002,Perusahaan Komanditer (CV),Diorit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,39.0
ARMIN,375/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2021,5.5
ARTESIS INDONESIA,11/I.03.P/P2T/03/2017,Perusahaan Perseroan Terbatas (PT),Tembaga,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2017,7614.0
ARTHA BUMI MINERAL,13/1/IUP/PMA/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,"KAB. MOROWALI, KAB. MOROWALI UTARA",2022,2973.0
ARTHA BUMI MINERAL,81200008916250007,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2022,4139.0
ARYOS MINERAL INDONESIA,15022200593630005,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KOTA KENDARI,2022,0.0
ASAS ANUGERAH BERKAH,14032401741830002,Perusahaan Komanditer (CV),Andesit,EKSPLORASI,Sulawesi Selatan,KAB. BONE BOLANGO,2024,2.0
ASET SULAWESI MINERALINDO,02600102101520003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,166.66
ASIA GLORIA MARMER,21082300270570002,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,10.44
ASSAQTI MORUT ENERGY,01092100340040001,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,24.5
ASTRICKY JAYA,10012200119120005,Perusahaan Komanditer (CV),Tanah Urug,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BULUKUMBA,2022,59.84
ASTRICKY JAYA,10012200119120008,Perusahaan Komanditer (CV),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BULUKUMBA,2024,38.36
