provinsi,tahun,indikator,nilai,satuan,Sumber
Sulawesi Selatan,2021,Investasi PMDN - Nilai (Juta Rp),12075.4,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2020,Investasi PMDN - Nilai (Juta Rp),2865.7,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2021,Investasi PMDN - Nilai (Juta Rp),4334.2,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2020,Investasi PMDN - Nilai (Juta Rp),683.6,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2021,Investasi PMDN - Nilai (Juta Rp),1004.3,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2020,Investasi PMDN - Nilai (Juta Rp),252.9,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2021,Investasi PMDN - Nilai (Juta Rp),395.3,Juta Rp,data/raw/bps_pmdn/
Maluku,2020,Investasi PMDN - Nilai (Juta Rp),474.8,Juta Rp,data/raw/bps_pmdn/
Maluku,2021,Investasi PMDN - Nilai (Juta Rp),2939.7,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2020,Investasi PMDN - Nilai (Juta Rp),662.1,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2021,Investasi PMDN - Nilai (Juta Rp),2665.3,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2020,Investasi PMDN - Nilai (Juta Rp),1925.4,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2021,Investasi PMDN - Nilai (Juta Rp),635.6,Juta Rp,data/raw/bps_pmdn/
Papua,2020,Investasi PMDN - Nilai (Juta Rp),2722.2,Juta Rp,data/raw/bps_pmdn/
Papua,2021,Investasi PMDN - Nilai (Juta Rp),910.8,Juta Rp,data/raw/bps_pmdn/
Indonesia,2020,Investasi PMDN - Nilai (Juta Rp),413535.5,Juta Rp,data/raw/bps_pmdn/
Indonesia,2021,Investasi PMDN - Nilai (Juta Rp),447063.6,Juta Rp,data/raw/bps_pmdn/
