provinsi,tahun,pct_pdrb_pertanian_A,pct_pdrb_pertambangan_B,pct_pdrb_industri_C,pct_pdrb_konstruksi_F,nilai_pertanian_miliar,nilai_pertambangan_miliar,nilai_industri_miliar,nilai_konstruksi_miliar,pct_industri_tambang_BC,agriculture_to_industry_shift_index,Nilai Tambah Pertanian per TK Pertanian,Proporsi Kerja Informal,Proporsi Nilai Tambah Manufaktur ke PDB,delta_pct_pdrb_pertanian_A_from_first,delta_pct_industri_tambang_BC_from_first,delta_agriculture_to_industry_shift_index_from_first
Sulawesi Barat,2015,41.99,2.21,10.32,7.83,13850.64,730.15,3402.85,2582.36,12.53,0.298,44593615.69,,11.42,0.23,0.1,0.0
Sulawesi Barat,2016,41.47,2.32,9.53,8.16,14907.59,832.5,3426.24,2934.03,11.85,0.286,49700457.07,,10.51,-0.29,-0.58,-0.01
Sulawesi Barat,2017,41.52,2.25,9.96,8.17,16400.37,887.9,3932.7,3228.84,12.21,0.294,50730017.32,,10.67,-0.24,-0.22,-0.0
Sulawesi Barat,2018,42.17,2.23,9.71,8.14,18324.02,971.11,4219.6,3536.6,11.94,0.283,61617669.81,74.69,10.79,0.41,-0.49,-0.02
Sulawesi Barat,2019,41.5,2.24,9.73,8.29,19241.1,1038.63,4510.45,3845.47,11.97,0.288,62224227.21,71.91,10.75,-0.26,-0.46,-0.01
Sulawesi Barat,2020,42.94,2.17,10.08,7.2,19950.57,1006.74,4685.57,3347.09,12.25,0.285,59066732.0,72.63,10.62,1.18,-0.18,-0.01
Sulawesi Barat,2021,43.83,2.2,10.67,7.69,22161.87,1112.49,5395.0,3889.8,12.87,0.294,68363267.27,72.8,10.96,2.07,0.44,-0.0
Sulawesi Barat,2022,44.25,2.15,10.82,7.46,23909.1,1161.17,5848.12,4031.58,12.97,0.293,64986585.86,77.25,10.65,2.49,0.54,-0.01
Sulawesi Barat,2023,44.68,2.2,11.16,7.33,26171.84,1288.82,6534.37,4294.63,13.36,0.299,73032494.26,73.35,11.58,2.92,0.93,0.0
Sulawesi Barat,2024,46.11,2.21,10.41,7.19,29608.76,1417.81,6684.64,4618.63,12.62,0.274,,,,4.35,0.19,-0.02
