provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2020,"M,N",Jasa Perusahaan,36.49,0.04
Gorontalo,2020,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2628.24,2.62
Gorontalo,2020,P,Jasa Pendidikan,1947.54,1.94
Gorontalo,2020,Produk,Domestik Bruto,41729.89,41.63
Gorontalo,2020,Q,Jasa Kesehatan dan Kegiatan Sosial,1528.89,1.53
Gorontalo,2020,"R,S,T,U",Jasa Lainnya,581.08,0.58
Gorontalo,2020,Tanaman,Pangan,8513.88,8.49
Gorontalo,2020,Tanaman,Hortikultura,1089.93,1.09
Gorontalo,2020,Tanaman,Perkebunan,1206.21,1.2
Gorontalo,2021,A,"Pertanian, Kehutanan, dan Perikanan",17082.24,16.17
Gorontalo,2021,Angkutan,Rel,,
Gorontalo,2021,Angkutan,Darat,1646.72,1.56
Gorontalo,2021,Angkutan,Laut,103.28,0.1
Gorontalo,2021,Angkutan,"Sungai, Danau, dan Penyeberangan",78.78,0.07
Gorontalo,2021,Angkutan,Udara,390.36,0.37
Gorontalo,2021,Asuransi,dan Dana Pensiun,31.54,0.03
Gorontalo,2021,B,Pertambangan dan Penggalian,483.23,0.46
Gorontalo,2021,C,Industri Pengolahan,1936.07,1.83
Gorontalo,2021,D,Pengadaan Listrik dan Gas,22.0,0.02
Gorontalo,2021,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",26.88,0.03
Gorontalo,2021,F,Konstruksi,4597.26,4.35
Gorontalo,2021,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5386.86,5.1
Gorontalo,2021,H,Transportasi dan Pergudangan,2325.32,2.2
Gorontalo,2021,I,Penyediaan Akomodasi dan Makan Minum,1008.94,0.96
Gorontalo,2021,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2021,Industri,Makanan dan Minuman,1377.31,1.3
Gorontalo,2021,Industri,Pengolahan Tembakau,,
Gorontalo,2021,Industri,Tekstil dan Pakaian Jadi,41.4,0.04
Gorontalo,2021,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2021,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",167.57,0.16
Gorontalo,2021,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,30.09,0.03
Gorontalo,2021,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.93,0.0
Gorontalo,2021,Industri,Karet; Barang dari Karet dan Plastik,1.68,0.0
Gorontalo,2021,Industri,Barang Galian bukan Logam,126.83,0.12
Gorontalo,2021,Industri,Logam Dasar,,
Gorontalo,2021,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",21.81,0.02
Gorontalo,2021,Industri,Mesin dan Perlengkapan,1.24,0.0
Gorontalo,2021,Industri,Alat Angkutan,11.01,0.01
Gorontalo,2021,Industri,Furnitur,153.68,0.15
